name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Fhcrc,fhcrc,icims,40,low,1,icims-verified; 100+ jobs
Latticesemi,latticesemi,icims,40,low,1,icims-verified; 50+ jobs
Legacyinc,legacyinc,icims,40,low,1,icims-verified; 50+ jobs
Leons,leons,icims,40,low,1,icims-verified; 50+ jobs
Leye,leye,icims,40,low,1,icims-verified; 50+ jobs
Lewisbrisbois,lewisbrisbois,icims,40,low,1,icims-verified; 50+ jobs
Libertymutual,libertymutual,icims,40,low,1,icims-verified; 50+ jobs
Lorienhealth,lorienhealth,icims,40,low,1,icims-verified; 50+ jobs
Livelmh,livelmh,icims,40,low,1,icims-verified; 50+ jobs
Livech,livech,icims,40,low,1,icims-verified; 50+ jobs
Lw,lw,icims,40,low,1,icims-verified; 50+ jobs
Lynker,lynker,icims,40,low,1,icims-verified; 50+ jobs
Madeiramadeira,madeiramadeira,icims,40,low,1,icims-verified; 50+ jobs
Marinerfinance,marinerfinance,icims,40,low,1,icims-verified; 50+ jobs
Magnera,magnera,icims,40,low,1,icims-verified; 50+ jobs
Markon,markon,icims,40,low,1,icims-verified; 50+ jobs
Marvin,marvin,icims,40,low,1,icims-verified; 50+ jobs
Mercuryinsurance,mercuryinsurance,icims,40,low,1,icims-verified; 50+ jobs
Methodisthospitals,methodisthospitals,icims,40,low,1,icims-verified; 50+ jobs
Mineralstech,mineralstech,icims,40,low,1,icims-verified; 50+ jobs
Mindpathhealth,mindpathhealth,icims,40,low,1,icims-verified; 50+ jobs
Miniso Us,miniso-us,icims,40,low,1,icims-verified; 50+ jobs
Mrocorp,mrocorp,icims,40,low,1,icims-verified; 50+ jobs
Mysagedental,mysagedental,icims,40,low,1,icims-verified; 50+ jobs
Mychildrenschoice,mychildrenschoice,icims,40,low,1,icims-verified; 50+ jobs
Morganplc,morganplc,icims,40,low,1,icims-verified; 50+ jobs
Nathealthcare,nathealthcare,icims,40,low,1,icims-verified; 50+ jobs
Naphcare,naphcare,icims,40,low,1,icims-verified; 50+ jobs
Mynorthsidecareer,mynorthsidecareer,icims,40,low,1,icims-verified; 50+ jobs
Naturalgrocers,naturalgrocers,icims,40,low,1,icims-verified; 50+ jobs
Navitus,navitus,icims,40,low,1,icims-verified; 50+ jobs
Na Merlinentertainments,na-merlinentertainments,icims,40,low,1,icims-verified; 50+ jobs
Nextechna,nextechna,icims,40,low,1,icims-verified; 50+ jobs
Nikkiso,nikkiso,icims,40,low,1,icims-verified; 50+ jobs
Nl,nl,icims,40,low,1,icims-verified; 50+ jobs
Northside,northside,icims,40,low,1,icims-verified; 50+ jobs
Novolex,novolex,icims,40,low,1,icims-verified; 50+ jobs
Nvisioncenters,nvisioncenters,icims,40,low,1,icims-verified; 50+ jobs
Novelis,novelis,icims,40,low,1,icims-verified; 50+ jobs
Northwesternmutual,northwesternmutual,icims,40,low,1,icims-verified; 50+ jobs
Nyfoundling,nyfoundling,icims,40,low,1,icims-verified; 50+ jobs
Oldnational,oldnational,icims,40,low,1,icims-verified; 50+ jobs
Omnisource,omnisource,icims,40,low,1,icims-verified; 50+ jobs
Orange,orange,icims,40,low,1,icims-verified; 50+ jobs
Osuphysicians,osuphysicians,icims,40,low,1,icims-verified; 50+ jobs
Pamhealth,pamhealth,icims,40,low,1,icims-verified; 50+ jobs
Pactiv Evergreen,pactiv-evergreen,icims,40,low,1,icims-verified; 50+ jobs
Parkhill,parkhill,icims,40,low,1,icims-verified; 50+ jobs
Peraton,peraton,icims,40,low,1,icims-verified; 50+ jobs
Pepsico,pepsico,icims,40,low,1,icims-verified; 50+ jobs
Phc,phc,icims,40,low,1,icims-verified; 50+ jobs
Piedmont,piedmont,icims,40,low,1,icims-verified; 50+ jobs
Pittohio,pittohio,icims,40,low,1,icims-verified; 50+ jobs
Peopletec,peopletec,icims,40,low,1,icims-verified; 50+ jobs
Plazatire,plazatire,icims,40,low,1,icims-verified; 50+ jobs
Primehealthcare,primehealthcare,icims,40,low,1,icims-verified; 50+ jobs
Primecontrols,primecontrols,icims,40,low,1,icims-verified; 50+ jobs
Premierdentistpartners,premierdentistpartners,icims,40,low,1,icims-verified; 50+ jobs
Premierehcstaffing,premierehcstaffing,icims,40,low,1,icims-verified; 50+ jobs
Psaairlines,psaairlines,icims,40,low,1,icims-verified; 50+ jobs
Proudmomentsaba,proudmomentsaba,icims,40,low,1,icims-verified; 50+ jobs
Ptsolutions,ptsolutions,icims,40,low,1,icims-verified; 50+ jobs
Pulice,pulice,icims,40,low,1,icims-verified; 50+ jobs
Pvm,pvm,icims,40,low,1,icims-verified; 50+ jobs
Qualus,qualus,icims,40,low,1,icims-verified; 50+ jobs
Realpagepms,realpagepms,icims,40,low,1,icims-verified; 50+ jobs
Redlobster,redlobster,icims,40,low,1,icims-verified; 50+ jobs
Reynoldsconsumerproducts,reynoldsconsumerproducts,icims,40,low,1,icims-verified; 50+ jobs
Rochebros,rochebros,icims,40,low,1,icims-verified; 50+ jobs
Riyadhair,riyadhair,icims,40,low,1,icims-verified; 50+ jobs
Ropesgray,ropesgray,icims,40,low,1,icims-verified; 50+ jobs
Rovisysbuildingtechnologies,rovisysbuildingtechnologies,icims,40,low,1,icims-verified; 50+ jobs
Sagehospitality,sagehospitality,icims,40,low,1,icims-verified; 50+ jobs
Sciolex,sciolex,icims,40,low,1,icims-verified; 50+ jobs
Sazerac,sazerac,icims,40,low,1,icims-verified; 50+ jobs
Scires,scires,icims,40,low,1,icims-verified; 50+ jobs
Scsengineers,scsengineers,icims,40,low,1,icims-verified; 50+ jobs
Shriners,shriners,icims,40,low,1,icims-verified; 50+ jobs
Sisk,sisk,icims,40,low,1,icims-verified; 50+ jobs
Slco,slco,icims,40,low,1,icims-verified; 50+ jobs
Skanska,skanska,icims,40,low,1,icims-verified; 50+ jobs
Samaritanvillage,samaritanvillage,icims,40,low,1,icims-verified; 50+ jobs
Solairus,solairus,icims,40,low,1,icims-verified; 50+ jobs
Smyrnareadymix,smyrnareadymix,icims,40,low,1,icims-verified; 50+ jobs
Sonrava,sonrava,icims,40,low,1,icims-verified; 50+ jobs
Southcoast,southcoast,icims,40,low,1,icims-verified; 50+ jobs
Stardental,stardental,icims,40,low,1,icims-verified; 50+ jobs
Steeldynamics,steeldynamics,icims,40,low,1,icims-verified; 50+ jobs
Stifel,stifel,icims,40,low,1,icims-verified; 50+ jobs
Suncore,suncore,icims,40,low,1,icims-verified; 50+ jobs
Sunauto,sunauto,icims,40,low,1,icims-verified; 50+ jobs
Sunautoservice,sunautoservice,icims,40,low,1,icims-verified; 50+ jobs
Suncrestcare,suncrestcare,icims,40,low,1,icims-verified; 50+ jobs
Sunroc,sunroc,icims,40,low,1,icims-verified; 50+ jobs
Tatitlek,tatitlek,icims,40,low,1,icims-verified; 50+ jobs
Teleperformance,teleperformance,icims,40,low,1,icims-verified; 50+ jobs
Thebrick,thebrick,icims,40,low,1,icims-verified; 50+ jobs
Thenestschool,thenestschool,icims,40,low,1,icims-verified; 50+ jobs
Theshieldco,theshieldco,icims,40,low,1,icims-verified; 50+ jobs
Thinktogether,thinktogether,icims,40,low,1,icims-verified; 50+ jobs
Therapypartnersolutions,therapypartnersolutions,icims,40,low,1,icims-verified; 50+ jobs
Tmh,tmh,icims,40,low,1,icims-verified; 50+ jobs
Togetherwomenshealth,togetherwomenshealth,icims,40,low,1,icims-verified; 50+ jobs
Titancement Usa,titancement-usa,icims,40,low,1,icims-verified; 50+ jobs
Touro,touro,icims,40,low,1,icims-verified; 50+ jobs
Trimac,trimac,icims,40,low,1,icims-verified; 50+ jobs
Uabmedicine,uabmedicine,icims,40,low,1,icims-verified; 50+ jobs
Ucbi,ucbi,icims,40,low,1,icims-verified; 50+ jobs
Uewhealth,uewhealth,icims,40,low,1,icims-verified; 50+ jobs
Uicalaska,uicalaska,icims,40,low,1,icims-verified; 50+ jobs
Univrad,univrad,icims,40,low,1,icims-verified; 50+ jobs
Us Shermco,us-shermco,icims,40,low,1,icims-verified; 50+ jobs
Usa Titanmaterials,usa-titanmaterials,icims,40,low,1,icims-verified; 50+ jobs
Vetcor,vetcor,icims,40,low,1,icims-verified; 50+ jobs
Versiti,versiti,icims,40,low,1,icims-verified; 50+ jobs
Vet,vet,icims,40,low,1,icims-verified; 50+ jobs
Vettech,vettech,icims,40,low,1,icims-verified; 50+ jobs
Vch,vch,icims,40,low,1,icims-verified; 50+ jobs
Vhchealth,vhchealth,icims,40,low,1,icims-verified; 50+ jobs
Visioninnovation Partners,visioninnovation-partners,icims,40,low,1,icims-verified; 50+ jobs
Vinfen,vinfen,icims,40,low,1,icims-verified; 50+ jobs
Virginiahospitalcenter,virginiahospitalcenter,icims,40,low,1,icims-verified; 50+ jobs
Vocationaldevelopmentgroupllc,vocationaldevelopmentgroupllc,icims,40,low,1,icims-verified; 50+ jobs
Wafd,wafd,icims,40,low,1,icims-verified; 50+ jobs
Weareteam,weareteam,icims,40,low,1,icims-verified; 50+ jobs
Wcpss,wcpss,icims,40,low,1,icims-verified; 50+ jobs
Westcoastuniversity,westcoastuniversity,icims,40,low,1,icims-verified; 50+ jobs
Wellpath,wellpath,icims,40,low,1,icims-verified; 50+ jobs
Xpressglobalsystems,xpressglobalsystems,icims,40,low,1,icims-verified; 50+ jobs
Ymcasd,ymcasd,icims,40,low,1,icims-verified; 50+ jobs
Matchmg,matchmg,icims,40,low,1,icims-verified; 48+ jobs
Mccarthyca,mccarthyca,icims,40,low,1,icims-verified; 48+ jobs
Pinkerton,pinkerton,icims,40,low,1,icims-verified; 48+ jobs
Silvi,silvi,icims,40,low,1,icims-verified; 48+ jobs
Udhgroup,udhgroup,icims,40,low,1,icims-verified; 48+ jobs
Warhorsecasino,warhorsecasino,icims,40,low,1,icims-verified; 48+ jobs
Benjaminmoore,benjaminmoore,icims,40,low,1,icims-verified; 47+ jobs
Ccr Ge,ccr-ge,icims,40,low,1,icims-verified; 47+ jobs
Internalen Brother,internalen-brother,icims,40,low,1,icims-verified; 47+ jobs
Palmlakecareers,palmlakecareers,icims,40,low,1,icims-verified; 47+ jobs
Resonetics,resonetics,icims,40,low,1,icims-verified; 47+ jobs
Rovisys,rovisys,icims,40,low,1,icims-verified; 47+ jobs
Silverangels,silverangels,icims,40,low,1,icims-verified; 47+ jobs
Stellantsystems,stellantsystems,icims,40,low,1,icims-verified; 47+ jobs
Validatek,validatek,icims,40,low,1,icims-verified; 47+ jobs
Americanfoodsgroup,americanfoodsgroup,icims,40,low,1,icims-verified; 46+ jobs
Bergelectric,bergelectric,icims,40,low,1,icims-verified; 46+ jobs
Catalystbrand,catalystbrand,icims,40,low,1,icims-verified; 46+ jobs
Collaborationbetterstheworldvi,collaborationbetterstheworldvi,icims,40,low,1,icims-verified; 46+ jobs
Nationaldebtrelief,nationaldebtrelief,icims,40,low,1,icims-verified; 46+ jobs
Posillicoinc,posillicoinc,icims,40,low,1,icims-verified; 46+ jobs
Steinhafels,steinhafels,icims,40,low,1,icims-verified; 46+ jobs
Cfsny,cfsny,icims,40,low,1,icims-verified; 45+ jobs
Gotyto,gotyto,icims,40,low,1,icims-verified; 45+ jobs
Healthedge,healthedge,icims,40,low,1,icims-verified; 45+ jobs
Monarchblackhawk,monarchblackhawk,icims,40,low,1,icims-verified; 45+ jobs
Salemmedia,salemmedia,icims,40,low,1,icims-verified; 45+ jobs
Cecoenviro,cecoenviro,icims,40,low,1,icims-verified; 44+ jobs
Iehp,iehp,icims,40,low,1,icims-verified; 44+ jobs
Mana,mana,icims,40,low,1,icims-verified; 44+ jobs
Usa Cecoenviro,usa-cecoenviro,icims,40,low,1,icims-verified; 44+ jobs
Ca Kaizenauto,ca-kaizenauto,icims,40,low,1,icims-verified; 43+ jobs
Pennex,pennex,icims,40,low,1,icims-verified; 43+ jobs
Bluehawk,bluehawk,icims,40,low,1,icims-verified; 42+ jobs
Cacu,cacu,icims,40,low,1,icims-verified; 42+ jobs
Danis,danis,icims,40,low,1,icims-verified; 42+ jobs
Jpcullen,jpcullen,icims,40,low,1,icims-verified; 42+ jobs
Stonex,stonex,icims,40,low,1,icims-verified; 42+ jobs
Uset,uset,icims,40,low,1,icims-verified; 42+ jobs
Viapath,viapath,icims,40,low,1,icims-verified; 42+ jobs
Merlinentertainments,merlinentertainments,icims,40,low,1,icims-verified; 41+ jobs
Uk Merlinentertainments,uk-merlinentertainments,icims,40,low,1,icims-verified; 41+ jobs
Empiricalfoods,empiricalfoods,icims,40,low,1,icims-verified; 40+ jobs
Resortsac,resortsac,icims,40,low,1,icims-verified; 40+ jobs
Shionogi,shionogi,icims,40,low,1,icims-verified; 40+ jobs
Allspringglobal,allspringglobal,icims,40,low,1,icims-verified; 39+ jobs
Cdicorp,cdicorp,icims,40,low,1,icims-verified; 39+ jobs
Edf Re,edf-re,icims,40,low,1,icims-verified; 39+ jobs
Fortiss,fortiss,icims,40,low,1,icims-verified; 39+ jobs
Sesi Md,sesi-md,icims,40,low,1,icims-verified; 39+ jobs
Tceusa,tceusa,icims,40,low,1,icims-verified; 39+ jobs
Cooltoday,cooltoday,icims,40,low,1,icims-verified; 38+ jobs
Kbhome,kbhome,icims,40,low,1,icims-verified; 38+ jobs
Macny,macny,icims,40,low,1,icims-verified; 38+ jobs
Newmillennium,newmillennium,icims,40,low,1,icims-verified; 38+ jobs
Patriot Careringhealth,patriot-careringhealth,icims,40,low,1,icims-verified; 38+ jobs
Pistongroup,pistongroup,icims,40,low,1,icims-verified; 38+ jobs
Fedwriters,fedwriters,icims,40,low,1,icims-verified; 37+ jobs
Galapagos,galapagos,icims,40,low,1,icims-verified; 37+ jobs
Rivet,rivet,icims,40,low,1,icims-verified; 37+ jobs
Saft,saft,icims,40,low,1,icims-verified; 37+ jobs
Berkleycaregroup,berkleycaregroup,icims,40,low,1,icims-verified; 36+ jobs
Controlsystems,controlsystems,icims,40,low,1,icims-verified; 36+ jobs
Hcisystems,hcisystems,icims,40,low,1,icims-verified; 36+ jobs
Heritagehomeservice,heritagehomeservice,icims,40,low,1,icims-verified; 36+ jobs
Industechnology,industechnology,icims,40,low,1,icims-verified; 36+ jobs
Peakdentalservices,peakdentalservices,icims,40,low,1,icims-verified; 36+ jobs
Sri,sri,icims,40,low,1,icims-verified; 36+ jobs
Allnativegroup,allnativegroup,icims,40,low,1,icims-verified; 35+ jobs
Aspireindiana,aspireindiana,icims,40,low,1,icims-verified; 35+ jobs
Hireright1,hireright1,icims,40,low,1,icims-verified; 35+ jobs
Lslps2,lslps2,icims,40,low,1,icims-verified; 35+ jobs
Plslogistics,plslogistics,icims,40,low,1,icims-verified; 35+ jobs
Riverwoodexeter,riverwoodexeter,icims,40,low,1,icims-verified; 35+ jobs
Ardenthealth,ardenthealth,icims,40,low,1,icims-verified; 34+ jobs
Canada Secure,canada-secure,icims,40,low,1,icims-verified; 34+ jobs
Chumashcareers,chumashcareers,icims,40,low,1,icims-verified; 34+ jobs
Firebirdsrestaurants,firebirdsrestaurants,icims,40,low,1,icims-verified; 34+ jobs
Logixbanking,logixbanking,icims,40,low,1,icims-verified; 34+ jobs
Snyder,snyder,icims,40,low,1,icims-verified; 34+ jobs
Springfield Ymca,springfield-ymca,icims,40,low,1,icims-verified; 34+ jobs
Wellbizbrands,wellbizbrands,icims,40,low,1,icims-verified; 34+ jobs
C1,c1,icims,40,low,1,icims-verified; 33+ jobs
Buckinghamcompanies,buckinghamcompanies,icims,40,low,1,icims-verified; 33+ jobs
Carenethealthcare,carenethealthcare,icims,40,low,1,icims-verified; 33+ jobs
Convergeone,convergeone,icims,40,low,1,icims-verified; 33+ jobs
Knaufinsulation,knaufinsulation,icims,40,low,1,icims-verified; 33+ jobs
Mcconnellgolf,mcconnellgolf,icims,40,low,1,icims-verified; 33+ jobs
Oneadvanced,oneadvanced,icims,40,low,1,icims-verified; 33+ jobs
Rightnowheatingacplumbing,rightnowheatingacplumbing,icims,40,low,1,icims-verified; 33+ jobs
Riverviewhealth,riverviewhealth,icims,40,low,1,icims-verified; 33+ jobs
Herbalife,herbalife,icims,40,low,1,icims-verified; 32+ jobs
Warrenhenryauto,warrenhenryauto,icims,40,low,1,icims-verified; 32+ jobs
Wwclyde,wwclyde,icims,40,low,1,icims-verified; 31+ jobs
Chaplain,chaplain,icims,40,low,1,icims-verified; 30+ jobs
Hcmhcares,hcmhcares,icims,40,low,1,icims-verified; 30+ jobs
Riversideresearch,riversideresearch,icims,40,low,1,icims-verified; 30+ jobs
Sundevil,sundevil,icims,40,low,1,icims-verified; 30+ jobs
Apexservicepartners,apexservicepartners,icims,40,low,1,icims-verified; 29+ jobs
Collaborationbetterstheworld,collaborationbetterstheworld,icims,40,low,1,icims-verified; 29+ jobs
Greatdane,greatdane,icims,40,low,1,icims-verified; 29+ jobs
Judge,judge,icims,40,low,1,icims-verified; 29+ jobs
Motionptg,motionptg,icims,40,low,1,icims-verified; 29+ jobs
